_Id,_CreationDate,_PostId,_RelatedPostId,_LinkTypeId
34,2016-01-12T22:48:05.727,8,21,1
1893,2017-09-10T11:54:01.067,18,76,1
3469,2018-07-31T20:26:44.930,30,196,1
3467,2018-07-31T15:10:11.457,30,264,1
148,2016-01-21T16:49:47.500,69,67,1
3302,2018-07-13T21:18:03.840,76,291,1
217,2016-01-31T18:17:49.480,88,77,3
7144,2020-04-17T09:39:20.067,97,314,1
9620,2022-07-26T16:26:39.007,97,314,3
266,2016-02-09T16:42:12.670,100,2,1
267,2016-02-09T16:42:12.670,100,69,1
448,2016-03-18T06:14:27.237,111,6,1
539,2016-04-11T23:59:30.447,118,76,1
561,2016-04-26T18:52:27.913,129,8,1
588,2016-05-03T16:59:38.577,134,111,1
599,2016-05-03T18:23:43.340,134,138,1
600,2016-05-03T18:29:20.077,138,123,1
612,2016-05-03T21:52:38.510,141,138,1
659,2016-05-10T06:44:05.307,150,151,1
648,2016-05-10T06:41:09.247,151,150,1
2980,2018-06-06T14:34:04.817,151,270,1
852,2016-06-12T20:24:20.770,164,67,1
853,2016-06-12T20:33:21.267,165,164,1
898,2016-07-03T21:31:00.933,174,76,1
899,2016-07-04T13:42:07.690,176,30,1
923,2016-07-07T20:54:09.683,179,159,1
1070,2016-08-13T09:57:08.207,182,147,1
1232,2016-11-27T14:45:32.983,192,115,1
5657,2019-12-01T14:29:33.030,196,30,1
1278,2016-12-05T16:02:05.513,196,197,1
5658,2019-12-01T14:29:33.030,196,264,1
1297,2016-12-14T17:37:05.027,197,76,1
1267,2016-12-05T15:57:02.123,197,196,1
1337,2017-01-03T23:31:11.303,208,189,1
4211,2018-11-16T09:24:59.497,213,303,1
1701,2017-06-06T16:14:48.543,226,230,1
4975,2019-06-06T21:54:28.487,226,410,3
1704,2017-06-07T08:47:04.063,230,224,1
1690,2017-06-06T16:14:10.127,230,226,1
4976,2019-06-06T21:54:58.417,230,410,3
1811,2017-07-31T20:05:59.470,244,213,1
1810,2017-07-31T20:05:59.470,244,241,1
3132,2018-06-14T23:27:09.953,244,276,1
2943,2018-05-24T14:59:31.023,259,135,1
3105,2018-06-13T13:53:57.307,260,276,1
2997,2018-06-07T06:35:44.700,264,174,1
2956,2018-05-25T08:18:05.460,264,197,1
2978,2018-06-06T14:25:47.903,266,151,1
2979,2018-06-06T14:32:50.050,270,151,1
3062,2018-06-13T12:15:56.867,276,5,1
3056,2018-06-13T12:15:56.867,276,6,1
3084,2018-06-13T12:15:56.867,276,8,1
3069,2018-06-13T12:15:56.867,276,21,1
