_Id,_TagName,_Count,_IsRequired,_ExcerptPostId,_WikiPostId,_IsModeratorOnly
1,bug,6,True,,,
2,feature-request,17,True,,,
3,discussion,188,True,377,376,
4,faq,2,,,,True
5,status-completed,14,,,,True
6,status-declined,1,,,,True
7,status-bydesign,1,,549,548,True
8,status-norepro,0,,545,544,True
9,status-reproduced,0,,547,546,True
10,status-planned,0,,541,540,True
11,status-deferred,0,,539,538,True
12,status-review,1,,493,492,True
13,support,23,True,543,542,
14,reputation,0,,,,
15,site-promotion,4,,,,
16,questions,2,,,,
17,tags,35,,,,
18,comments,4,,,,
19,badges,0,,,,
20,answers,4,,,,
21,search,0,,,,
22,voting,4,,,,
23,editing,2,,,,
24,bounty,1,,,,
25,user-interface,0,,,,
26,specific-question,0,,,,
27,accepted-answer,1,,,,
28,markdown,0,,,,
29,stackexchange,1,,,,
30,community-wiki,0,,,,
31,down-votes,1,,,,
32,openid,0,,,,
33,migration,2,,,,
34,vote-to-close,2,,,,
35,exact-duplicates,0,,,,
36,etiquette,1,,,,
37,notifications,0,,,,
38,users,0,,,,
39,closed-questions,5,,,,
40,hyperlinks,0,,,,
41,data-dump,0,,,,
42,asking-questions,19,,,,
43,recent-activity,0,,,,
44,new-users,2,,,,
45,profile-page,0,,,,
46,flagging,6,,,,
47,chat,3,,,,
48,unanswered-questions,2,,,,
49,retagging,3,,,,
50,moderation,8,,,,
51,data-explorer,0,,,,
52,close-reasons,0,,,,
53,user-accounts,0,,,,
54,formatting,2,,,,
55,interesting-tags,0,,,,
56,up-votes,1,,,,
57,meta,0,,,,
58,statistics,6,,,,
59,login,0,,,,
60,rss,0,,,,
61,bookmarks,0,,,,
62,deleted-questions,0,,,,
63,tagging,1,,,,
64,votes,0,,,,
65,tag-synonyms,9,,,,
66,design,1,,,,
67,featured,2,,,,True
68,community-ads,0,,,,True
69,recommendations,3,,,,
70,7-questions,4,,,,
71,scope,19,,351,350,
73,moderators,5,,,,
81,advertising,3,,,,
83,election,3,,,,
85,legal,3,,,,
86,product-discovery,0,,487,486,True
87,mathjax,4,,,,
88,announcement,1,,,,
