_Id,_PostId,_VoteTypeId,_CreationDate
1,1,2,2016-01-12T00:00:00.000
3,1,2,2016-01-12T00:00:00.000
5,1,2,2016-01-12T00:00:00.000
7,1,2,2016-01-12T00:00:00.000
30,1,2,2016-01-12T00:00:00.000
34,1,2,2016-01-12T00:00:00.000
53,1,2,2016-01-12T00:00:00.000
74,1,2,2016-01-13T00:00:00.000
81,1,2,2016-01-13T00:00:00.000
87,1,2,2016-01-13T00:00:00.000
104,1,2,2016-01-13T00:00:00.000
129,1,2,2016-01-13T00:00:00.000
219,1,2,2016-01-14T00:00:00.000
250,1,2,2016-01-15T00:00:00.000
281,1,2,2016-01-18T00:00:00.000
302,1,2,2016-01-23T00:00:00.000
315,1,2,2016-01-25T00:00:00.000
318,1,2,2016-01-26T00:00:00.000
537,1,2,2016-06-12T00:00:00.000
1010,1,2,2018-08-15T00:00:00.000
1256,1,2,2019-05-06T00:00:00.000
2053,1,2,2023-04-10T00:00:00.000
2,2,2,2016-01-12T00:00:00.000
66,2,2,2016-01-13T00:00:00.000
16,3,2,2016-01-12T00:00:00.000
648,3,2,2016-11-21T00:00:00.000
4,4,2,2016-01-12T00:00:00.000
15,4,2,2016-01-12T00:00:00.000
67,4,2,2016-01-13T00:00:00.000
1179,4,2,2019-01-08T00:00:00.000
6,5,2,2016-01-12T00:00:00.000
13,5,2,2016-01-12T00:00:00.000
19,5,2,2016-01-12T00:00:00.000
36,5,2,2016-01-12T00:00:00.000
40,5,2,2016-01-12T00:00:00.000
52,5,2,2016-01-12T00:00:00.000
79,5,2,2016-01-13T00:00:00.000
86,5,2,2016-01-13T00:00:00.000
170,5,2,2016-01-13T00:00:00.000
20,6,2,2016-01-12T00:00:00.000
35,6,2,2016-01-12T00:00:00.000
61,6,2,2016-01-12T00:00:00.000
115,6,2,2016-01-13T00:00:00.000
145,6,3,2016-01-13T00:00:00.000
226,6,2,2016-01-14T00:00:00.000
233,6,2,2016-01-15T00:00:00.000
21,7,2,2016-01-12T00:00:00.000
26,7,2,2016-01-12T00:00:00.000
31,7,2,2016-01-12T00:00:00.000
160,7,2,2016-01-13T00:00:00.000
1943,7,2,2022-06-07T00:00:00.000
11,8,2,2016-01-12T00:00:00.000
18,8,2,2016-01-12T00:00:00.000
23,8,2,2016-01-12T00:00:00.000
77,8,2,2016-01-13T00:00:00.000
209,8,2,2016-01-14T00:00:00.000
246,8,2,2016-01-15T00:00:00.000
289,8,2,2016-01-20T00:00:00.000
698,8,2,2016-12-20T00:00:00.000
10,9,2,2016-01-12T00:00:00.000
17,9,2,2016-01-12T00:00:00.000
22,9,2,2016-01-12T00:00:00.000
37,9,2,2016-01-12T00:00:00.000
38,9,1,2016-01-12T00:00:00.000
47,9,2,2016-01-12T00:00:00.000
156,9,2,2016-01-13T00:00:00.000
176,9,2,2016-01-13T00:00:00.000
208,9,2,2016-01-14T00:00:00.000
247,9,2,2016-01-15T00:00:00.000
290,9,2,2016-01-20T00:00:00.000
14,10,2,2016-01-12T00:00:00.000
45,10,3,2016-01-12T00:00:00.000
84,10,10,2016-01-13T00:00:00.000
12,11,2,2016-01-12T00:00:00.000
25,11,2,2016-01-12T00:00:00.000
27,11,2,2016-01-12T00:00:00.000
48,11,2,2016-01-12T00:00:00.000
56,11,2,2016-01-12T00:00:00.000
57,11,2,2016-01-12T00:00:00.000
83,11,2,2016-01-13T00:00:00.000
91,11,2,2016-01-13T00:00:00.000
128,11,3,2016-01-13T00:00:00.000
187,11,3,2016-01-13T00:00:00.000
214,11,2,2016-01-14T00:00:00.000
235,11,2,2016-01-15T00:00:00.000
382,11,2,2016-02-08T00:00:00.000
399,11,2,2016-02-15T00:00:00.000
24,12,2,2016-01-12T00:00:00.000
263,12,2,2016-01-16T00:00:00.000
271,12,2,2016-01-17T00:00:00.000
539,12,2,2016-06-12T00:00:00.000
707,12,2,2016-12-24T00:00:00.000
29,14,2,2016-01-12T00:00:00.000
182,14,2,2016-01-13T00:00:00.000
303,14,2,2016-01-23T00:00:00.000
1012,14,2,2018-08-15T00:00:00.000
32,15,2,2016-01-12T00:00:00.000
33,15,2,2016-01-12T00:00:00.000
130,15,3,2016-01-13T00:00:00.000
151,15,2,2016-01-13T00:00:00.000
1013,15,2,2018-08-15T00:00:00.000
39,16,2,2016-01-12T00:00:00.000
46,16,2,2016-01-12T00:00:00.000
80,16,2,2016-01-13T00:00:00.000
85,16,2,2016-01-13T00:00:00.000
122,16,2,2016-01-13T00:00:00.000
