"_IsModeratorOnly","_Id","_TagName","_IsRequired","_Count","_WikiPostId","_ExcerptPostId"
"","1","bug","True","37","",""
"","2","feature-request","True","94","4928","4929"
"","3","discussion","True","1114","3868","3869"
"True","4","faq","","13","",""
"True","5","status-completed","","62","",""
"True","6","status-declined","","8","",""
"True","7","status-bydesign","","5","5167","5168"
"True","8","status-norepro","","1","5158","5159"
"True","9","status-reproduced","","0","5160","5161"
"True","10","status-planned","","0","5156","5157"
"True","11","status-deferred","","1","5154","5155"
"True","12","status-review","","2","4760","4761"
"","13","support","True","139","4926","4927"
"","14","reputation","","5","",""
"","15","site-promotion","","12","1640","1641"
"","16","questions","","7","",""
"","17","tags","","141","527","528"
"","18","comments","","23","1642","1643"
"","19","badges","","3","",""
"","20","answers","","34","1648","1649"
"","21","search","","1","",""
"","22","voting","","6","",""
"","23","editing","","38","1653","1654"
"","24","bounty","","4","",""
"","25","user-interface","","12","",""
"","26","specific-question","","51","2144","2145"
"","27","accepted-answer","","7","",""
"","28","markdown","","2","",""
"","29","stackexchange","","3","",""
"","30","community-wiki","","7","3620","3621"
"","31","down-votes","","15","",""
"","32","openid","","0","",""
"","33","migration","","16","1523","1524"
"","34","vote-to-close","","27","",""
"","35","duplicates","","23","",""
"","36","etiquette","","20","",""
"","37","notifications","","1","",""
"","38","users","","6","",""
"","39","closed-questions","","60","",""
"","40","hyperlinks","","3","",""
"","41","data-dump","","0","",""
"","42","asking-questions","","43","1666","1667"
"","43","recent-activity","","0","",""
"","44","new-users","","6","",""
"","45","profile-page","","1","",""
"","46","flagging","","18","",""
"","47","chat","","9","1651","1652"
"","48","unanswered-questions","","2","1662","1663"
"","49","retagging","","13","1668","1669"
"","50","moderation","","60","1672","1673"
"","51","data-explorer","","0","",""
"","52","close-reasons","","33","1646","1647"
"","53","user-accounts","","2","",""
"","54","formatting","","1","",""
"","56","up-votes","","4","",""
"","57","meta","","8","1410","1411"
"","58","statistics","","8","",""
"","59","login","","0","",""
"","60","rss","","0","",""
"","61","bookmarks","","0","4251","4252"
"","62","deleted-questions","","4","",""
"","63","tagging","","6","",""
"","64","votes","","2","",""
"","65","tag-synonyms","","41","",""
"","66","design","","27","1660","1661"
"True","67","featured","","0","",""
"True","68","community-ads","","8","",""
"","69","policy","","20","3569","3570"
"","70","scope","","34","4163","4164"
"","71","deleting","","28","1655","1656"
"","74","quality-evaluation","","2","",""
"","75","allowed-questions","","21","",""
"","84","area51","","6","638","639"
"","85","best-practices","","2","",""
"","89","site-evaluation","","5","",""
"","92","winter-bash","","5","4375","4376"
"","93","ethics","","6","",""
"","94","undergraduate","","10","1664","1665"
"","95","on-topic-ness","","94","1638","1639"
"","96","deleted-comments","","19","1521","1522"
"","97","specific-answer","","11","1414","1415"
"","100","community","","12","1535","1536"
"","101","subjective-question","","8","",""
"","102","election","","21","1644","1645"
"","103","moderators","","15","1412","1413"
"","106","burninate-request","","2","",""
"","107","help-center","","4","1670","1671"
"","110","localized-questions","","7","1423","1424"
"","113","bias","","2","1540","1541"
"","115","site-philosophy","","5","1542","1543"
"","116","site-crossover","","8","1554","1555"
"","117","tag-cleanup-proposal","","6","1569","1570"
"","119","too-broad","","5","",""
"","121","unclear","","3","",""
"","134","canonical-question","","24","",""
"","135","trolling","","3","",""
"","137","faq-proposed","","4","",""
"","141","protected-question","","2","",""
"","142","shopping-questions","","7","",""
"","146","privacy","","2","",""
"","147","countries","","2","",""
"","152","reviewing","","5","",""
"True","159","product-discovery","","0","4701","4702"
"","167","spam","","5","5312","5313"
"","168","deleted-answers","","2","",""
