_Id,_TagName,_Count,_IsRequired,_ExcerptPostId,_WikiPostId,_IsModeratorOnly
1,bug,37,True,,,
2,feature-request,94,True,4929,4928,
3,discussion,1114,True,3869,3868,
4,faq,13,,,,True
5,status-completed,62,,,,True
6,status-declined,8,,,,True
7,status-bydesign,5,,5168,5167,True
8,status-norepro,1,,5159,5158,True
9,status-reproduced,0,,5161,5160,True
10,status-planned,0,,5157,5156,True
11,status-deferred,1,,5155,5154,True
12,status-review,2,,4761,4760,True
13,support,139,True,4927,4926,
14,reputation,5,,,,
15,site-promotion,12,,1641,1640,
16,questions,7,,,,
17,tags,141,,528,527,
18,comments,23,,1643,1642,
19,badges,3,,,,
20,answers,34,,1649,1648,
21,search,1,,,,
22,voting,6,,,,
23,editing,38,,1654,1653,
24,bounty,4,,,,
25,user-interface,12,,,,
26,specific-question,51,,2145,2144,
27,accepted-answer,7,,,,
28,markdown,2,,,,
29,stackexchange,3,,,,
30,community-wiki,7,,3621,3620,
31,down-votes,15,,,,
32,openid,0,,,,
33,migration,16,,1524,1523,
34,vote-to-close,27,,,,
35,duplicates,23,,,,
36,etiquette,20,,,,
37,notifications,1,,,,
38,users,6,,,,
39,closed-questions,60,,,,
40,hyperlinks,3,,,,
41,data-dump,0,,,,
42,asking-questions,43,,1667,1666,
43,recent-activity,0,,,,
44,new-users,6,,,,
45,profile-page,1,,,,
46,flagging,18,,,,
47,chat,9,,1652,1651,
48,unanswered-questions,2,,1663,1662,
49,retagging,13,,1669,1668,
50,moderation,60,,1673,1672,
51,data-explorer,0,,,,
52,close-reasons,33,,1647,1646,
53,user-accounts,2,,,,
54,formatting,1,,,,
56,up-votes,4,,,,
57,meta,8,,1411,1410,
58,statistics,8,,,,
59,login,0,,,,
60,rss,0,,,,
61,bookmarks,0,,4252,4251,
62,deleted-questions,4,,,,
63,tagging,6,,,,
64,votes,2,,,,
65,tag-synonyms,41,,,,
66,design,27,,1661,1660,
67,featured,0,,,,True
68,community-ads,8,,,,True
69,policy,20,,3570,3569,
70,scope,34,,4164,4163,
71,deleting,28,,1656,1655,
74,quality-evaluation,2,,,,
75,allowed-questions,21,,,,
84,area51,6,,639,638,
85,best-practices,2,,,,
89,site-evaluation,5,,,,
92,winter-bash,5,,4376,4375,
93,ethics,6,,,,
94,undergraduate,10,,1665,1664,
95,on-topic-ness,94,,1639,1638,
96,deleted-comments,19,,1522,1521,
97,specific-answer,11,,1415,1414,
100,community,12,,1536,1535,
101,subjective-question,8,,,,
102,election,21,,1645,1644,
103,moderators,15,,1413,1412,
106,burninate-request,2,,,,
107,help-center,4,,1671,1670,
110,localized-questions,7,,1424,1423,
113,bias,2,,1541,1540,
115,site-philosophy,5,,1543,1542,
116,site-crossover,8,,1555,1554,
117,tag-cleanup-proposal,6,,1570,1569,
119,too-broad,5,,,,
121,unclear,3,,,,
134,canonical-question,24,,,,
135,trolling,3,,,,
137,faq-proposed,4,,,,
141,protected-question,2,,,,
142,shopping-questions,7,,,,
146,privacy,2,,,,
147,countries,2,,,,
152,reviewing,5,,,,
159,product-discovery,0,,4702,4701,True
167,spam,5,,5313,5312,
168,deleted-answers,2,,,,
