_Id,_PostId,_VoteTypeId,_CreationDate
1,1,2,2012-02-14T00:00:00.000
26,1,2,2012-02-15T00:00:00.000
27,1,3,2012-02-15T00:00:00.000
188,1,2,2012-02-23T00:00:00.000
326,1,2,2012-03-08T00:00:00.000
22975,1,2,2016-11-07T00:00:00.000
2,2,2,2012-02-14T00:00:00.000
274,2,2,2012-03-04T00:00:00.000
905,2,2,2012-10-02T00:00:00.000
7,3,2,2012-02-14T00:00:00.000
8,3,2,2012-02-14T00:00:00.000
9,3,2,2012-02-14T00:00:00.000
11,3,2,2012-02-14T00:00:00.000
13,3,2,2012-02-14T00:00:00.000
22,3,2,2012-02-15T00:00:00.000
63,3,2,2012-02-16T00:00:00.000
103,3,2,2012-02-17T00:00:00.000
133,3,2,2012-02-20T00:00:00.000
218,3,2,2012-02-26T00:00:00.000
904,3,2,2012-10-02T00:00:00.000
15193,3,2,2015-06-25T00:00:00.000
1288,4,2,2012-11-27T00:00:00.000
1339,4,2,2012-12-06T00:00:00.000
22996,4,2,2016-11-14T00:00:00.000
10,5,2,2012-02-14T00:00:00.000
15,5,2,2012-02-15T00:00:00.000
23,5,2,2012-02-15T00:00:00.000
25,5,1,2012-02-15T00:00:00.000
47,5,2,2012-02-15T00:00:00.000
302,5,2,2012-03-07T00:00:00.000
19,6,2,2012-02-15T00:00:00.000
24,6,2,2012-02-15T00:00:00.000
132,6,2,2012-02-20T00:00:00.000
328,6,2,2012-03-08T00:00:00.000
12,7,2,2012-02-14T00:00:00.000
18,7,2,2012-02-15T00:00:00.000
20,7,2,2012-02-15T00:00:00.000
28,7,2,2012-02-15T00:00:00.000
32,7,2,2012-02-15T00:00:00.000
40,7,2,2012-02-15T00:00:00.000
65,7,2,2012-02-16T00:00:00.000
126,7,2,2012-02-20T00:00:00.000
737,7,2,2012-07-27T00:00:00.000
21,8,2,2012-02-15T00:00:00.000
128,8,2,2012-02-20T00:00:00.000
605,8,2,2012-05-31T00:00:00.000
892,8,2,2012-09-26T00:00:00.000
16,9,2,2012-02-15T00:00:00.000
39,9,2,2012-02-15T00:00:00.000
58,9,2,2012-02-16T00:00:00.000
129,9,2,2012-02-20T00:00:00.000
192,9,2,2012-02-23T00:00:00.000
242,9,1,2012-02-27T00:00:00.000
893,9,2,2012-09-26T00:00:00.000
45,10,2,2012-02-15T00:00:00.000
57,10,2,2012-02-16T00:00:00.000
602,10,2,2012-05-31T00:00:00.000
10549,10,3,2014-12-20T00:00:00.000
29,11,2,2012-02-15T00:00:00.000
67,11,2,2012-02-16T00:00:00.000
277,11,2,2012-03-06T00:00:00.000
327,11,2,2012-03-08T00:00:00.000
31,12,2,2012-02-15T00:00:00.000
35,12,2,2012-02-15T00:00:00.000
38,12,2,2012-02-15T00:00:00.000
69,12,2,2012-02-16T00:00:00.000
123,12,2,2012-02-20T00:00:00.000
144,12,2,2012-02-21T00:00:00.000
208,12,2,2012-02-23T00:00:00.000
3081,12,2,2013-04-26T00:00:00.000
3223,12,2,2013-05-23T00:00:00.000
3408,12,2,2013-07-11T00:00:00.000
12462,12,2,2015-02-10T00:00:00.000
17034,12,2,2015-09-12T00:00:00.000
17542,12,2,2015-10-14T00:00:00.000
23024,12,2,2016-11-22T00:00:00.000
34686,12,2,2020-02-19T00:00:00.000
30,13,2,2012-02-15T00:00:00.000
33,13,2,2012-02-15T00:00:00.000
34,13,2,2012-02-15T00:00:00.000
36,13,2,2012-02-15T00:00:00.000
41,13,2,2012-02-15T00:00:00.000
71,13,3,2012-02-16T00:00:00.000
90,13,2,2012-02-16T00:00:00.000
93,13,3,2012-02-17T00:00:00.000
125,13,2,2012-02-20T00:00:00.000
3079,13,2,2013-04-26T00:00:00.000
3406,13,2,2013-07-11T00:00:00.000
12429,13,2,2015-02-08T00:00:00.000
12464,13,3,2015-02-10T00:00:00.000
17036,13,2,2015-09-12T00:00:00.000
34645,13,2,2020-02-12T00:00:00.000
34687,13,2,2020-02-19T00:00:00.000
36414,13,2,2020-06-06T00:00:00.000
37,14,2,2012-02-15T00:00:00.000
46,14,2,2012-02-15T00:00:00.000
51,14,2,2012-02-15T00:00:00.000
70,14,2,2012-02-16T00:00:00.000
94,14,2,2012-02-17T00:00:00.000
95,14,2,2012-02-17T00:00:00.000
124,14,2,2012-02-20T00:00:00.000
136,14,2,2012-02-21T00:00:00.000
